"","row","col"
"1",25,133
"2",32,370
"3",14,457
"4",46,684
"5",21,739
"6",3,456
"7",42,909
"8",3,678
"9",2,846
"10",25,37
"11",40,34
"12",18,284
"13",12,444
"14",42,944
"15",20,910
"16",18,990
"17",24,809
"18",36,170
"19",45,588
"20",45,660
"21",11,580
"22",4,671
"23",3,412
"24",39,598
"25",10,821
"26",12,586
"27",35,902
"28",20,568
"29",49,335
"30",9,175
"31",9,121
"32",27,270
"33",9,777
"34",36,566
"35",4,654
"36",10,859
"37",7,801
"38",2,741
"39",20,855
"40",48,220
"41",8,582
"42",13,527
"43",10,664
"44",10,414
"45",42,995
"46",46,447
"47",35,171
"48",13,953
"49",37,183
"50",14,654
