"","row","col"
"1",44,293
"2",5,682
"3",37,584
"4",10,715
"5",35,492
"6",7,818
"7",42,257
"8",29,147
"9",8,551
"10",17,34
"11",55,626
"12",39,223
"13",59,608
"14",9,503
"15",55,462
"16",43,935
"17",13,101
"18",59,519
"19",35,634
"20",30,600
"21",28,384
"22",37,658
"23",19,732
"24",6,569
"25",57,996
"26",44,704
"27",31,102
"28",30,97
"29",43,274
"30",2,65
"31",21,510
"32",55,893
"33",50,281
"34",19,871
"35",23,650
"36",35,765
"37",57,411
"38",29,626
"39",53,453
"40",59,664
"41",29,973
"42",55,23
"43",9,894
"44",6,253
"45",43,128
"46",20,8
"47",36,663
"48",21,635
"49",7,985
"50",16,647
