"","row","col"
"1",16690,119
"2",12462,192
"3",14617,131
"4",25106,433
"5",14049,339
"6",6606,145
"7",20978,259
"8",22117,162
"9",11080,57
"10",7619,335
"11",16764,425
"12",21776,216
"13",5255,94
"14",22783,425
"15",743,331
"16",15229,144
"17",23903,148
"18",13899,449
"19",19204,524
"20",670,509
"21",17620,58
"22",12078,492
"23",6247,301
"24",12645,39
"25",13302,133
"26",15405,155
"27",16634,316
"28",212,526
"29",19371,159
"30",18694,151
"31",15331,544
"32",22110,118
"33",16312,84
"34",25037,396
"35",16359,15
"36",11781,330
"37",13250,467
"38",24886,202
"39",881,528
"40",4137,187
"41",15940,491
"42",20774,439
"43",1170,252
"44",26374,525
"45",23121,247
"46",12132,386
"47",2292,433
"48",9523,538
"49",11907,145
"50",24670,507
"51",24728,177
"52",1347,464
"53",5079,148
"54",25285,560
"55",25122,448
"56",24934,216
"57",17231,532
"58",27098,395
"59",16885,478
"60",6491,69
"61",12517,255
"62",3046,353
"63",9824,60
"64",4425,278
"65",16603,213
"66",1346,393
"67",12212,380
"68",11900,366
"69",14389,169
"70",13396,148
"71",2567,561
"72",19846,202
"73",7445,136
"74",24381,26
"75",5132,508
"76",3329,127
"77",9637,76
"78",3260,17
"79",24152,331
"80",26471,576
"81",25178,191
"82",21737,573
"83",11328,321
"84",25285,318
"85",19572,327
"86",21646,237
"87",10992,52
"88",23255,225
"89",3516,211
"90",5118,81
"91",8707,72
"92",7097,218
"93",18607,487
"94",3297,369
"95",4349,148
"96",10409,518
"97",20383,341
"98",9111,217
"99",24228,43
"100",26250,509
"101",2867,204
"102",15554,553
"103",3209,466
"104",26835,385
"105",3592,580
"106",25255,459
"107",3079,4
"108",15247,408
"109",15222,171
"110",16068,41
"111",144,253
"112",26158,263
"113",26549,368
"114",12021,56
"115",11887,26
"116",10329,358
"117",4940,588
"118",23909,97
"119",4956,364
"120",26872,409
"121",13048,558
"122",8026,300
"123",18687,298
"124",11952,406
"125",22337,96
"126",17560,564
"127",5422,129
"128",4945,487
"129",5669,332
"130",15307,348
"131",6688,139
"132",3463,295
"133",13069,558
"134",20183,451
"135",10932,498
"136",1924,199
"137",25543,291
"138",2168,365
"139",18907,535
"140",9157,287
"141",18391,474
"142",13035,154
"143",24764,331
"144",17267,500
"145",10901,28
"146",10894,332
"147",5196,440
"148",23501,265
"149",19132,239
"150",23424,271
"151",27098,579
"152",15337,457
"153",17399,467
"154",26259,317
"155",17380,404
"156",12059,274
"157",4555,22
"158",385,11
"159",24666,554
"160",23853,251
"161",22000,395
"162",5139,59
"163",7178,535
"164",19155,47
"165",7091,351
"166",7912,344
"167",7470,470
"168",27103,195
"169",1415,360
"170",14113,304
"171",2912,588
"172",18272,54
"173",15345,239
"174",12520,200
"175",25548,21
"176",5081,125
"177",7485,214
"178",27039,584
"179",12772,104
"180",5668,397
"181",14746,169
"182",1194,48
"183",5600,112
"184",26969,514
"185",10670,589
"186",3139,88
"187",16910,430
"188",27508,10
"189",17540,432
"190",9749,20
"191",1519,202
"192",15514,559
"193",11562,193
"194",24985,484
"195",17028,147
"196",3704,213
"197",2634,105
"198",3607,18
"199",24041,287
"200",420,407
