"","row","col"
"9298",23373,1
"4980",12620,1
"5797",14966,1
"3864",10644,1
"5588",14193,1
"7658",18451,1
"6401",15886,1
"1262",4418,1
"965",3682,1
"5300",13204,1
"7132",17530,1
"993",3727,1
"4866",12451,1
"8539",20216,1
"3758",10417,1
"12657",4853,2
"19476",23149,2
"14484",8979,2
"19698",24007,2
"15005",10697,2
"18153",18674,2
"10793",316,2
"19176",22216,2
"11355",1386,2
"13482",6536,2
"18071",18383,2
"15489",12442,2
"15733",12872,2
"19574",23857,2
"14938",10580,2
"26604",16076,3
"28647",21748,3
"29411",24934,3
"23105",6467,3
"24181",9865,3
"22836",5628,3
"29410",24933,3
"23905",9109,3
"30054",26521,3
"25220",13248,3
"24650",11206,3
"24827",11549,3
"24640",11187,3
"22968",6264,3
"21525",627,3
"37575",20900,4
"34582",12394,4
"32902",8276,4
"33183",9062,4
"36373",17223,4
"33679",10028,4
"32962",8617,4
"39532",26755,4
"36848",18431,4
"38576",24415,4
"30494",260,4
"35886",15610,4
"36266",16909,4
"38048",22738,4
"31772",5194,4
"43343",25341,5
"39979",2971,5
"42031",18808,5
"40154",3854,5
"40858",6718,5
"40377",5362,5
"42535",19816,5
"39917",2887,5
"41371",12106,5
"42107",18917,5
"40530",6017,5
"43579",26184,5
"40903",6806,5
"43042",23731,5
"41137",8064,5
"46086",6340,6
"52400",24592,6
"49025",15841,6
"53145",26170,6
"46346",7372,6
"52312",24415,6
"51795",23267,6
"48163",13641,6
"50970",20811,6
"46759",9485,6
"52417",24621,6
"49273",16781,6
"48001",13107,6
"48382",14119,6
"52052",23870,6
"58926",16812,7
"61127",23267,7
"59340",18072,7
"61516",24041,7
"54396",4174,7
"61399",23775,7
"58652",16323,7
"57769",14174,7
"54020",1845,7
"61270",23578,7
"57619",13961,7
"53877",1135,7
"58400",15650,7
"55799",9322,7
"55785",9285,7
"69640",21757,8
"67163",13865,8
"67031",13369,8
"62696",40,8
"69446",20575,8
"65000",7340,8
"70501",24156,8
"65106",7693,8
"70570",24516,8
"70676",24669,8
"65452",9019,8
"68168",16790,8
"64185",5045,8
"70054",22924,8
"67876",15870,8
"76291",15796,9
"77601",20292,9
"74236",7651,9
"71578",21,9
"79813",27033,9
"78630",24100,9
"76583",16790,9
"78383",23045,9
"72728",3239,9
"74405",7929,9
"79879",27527,9
"78107",22030,9
"77116",19266,9
"75602",13712,9
"78087",22005,9
"82139",4891,10
"89272",21569,10
"85471",12704,10
"83491",8017,10
"79962",145,10
"81254",2985,10
"84932",11265,10
"84194",9647,10
"80585",1470,10
"85801",13395,10
"87130",16469,10
"91082",25322,10
"87526",17460,10
"81247",2949,10
"83482",8000,10
"97039",14160,11
"92220",361,11
"92576",1048,11
"99230",18840,11
"94563",6439,11
"93049",1956,11
"101650",25911,11
"92501",846,11
"97882",15964,11
"97032",14151,11
"93631",4251,11
"95525",10343,11
"101775",26195,11
"100965",23441,11
"96016",11753,11
"107479",11688,12
"112824",24077,12
"104205",4412,12
"112027",22476,12
"109582",16557,12
"104038",4025,12
"105260",6665,12
"107733",12567,12
"104804",5642,12
"103609",2964,12
"103361",2516,12
"112359",23180,12
"111970",22349,12
"108342",13796,12
"106526",9593,12
"117520",11051,13
"117903",11637,13
"119240",15494,13
"115643",3884,13
"117151",10001,13
"120352",18756,13
"114692",1388,13
"120413",18850,13
"118355",12644,13
"114930",2473,13
"122371",26780,13
"121014",20210,13
"122159",25580,13
"117783",11437,13
"121041",20267,13
"125328",7853,14
"128150",15928,14
"129377",18670,14
"124622",5341,14
"126733",12376,14
"131402",24498,14
"125785",9818,14
"129083",18034,14
"128966",17828,14
"131531",24670,14
"126586",12013,14
"125466",8256,14
"132433",27432,14
"129747",19422,14
"128570",17000,14
"133803",4677,15
"134857",7879,15
"134301",6405,15
"140018",26725,15
"133040",3187,15
"135610",10716,15
"133461",3908,15
"135178",8999,15
"134832",7835,15
"136671",13141,15
"133074",3231,15
"138406",20359,15
"133436",3863,15
"135391",9940,15
"139682",26004,15
"149036",26916,16
"140376",620,16
"141697",5492,16
"145182",15244,16
"142831",9172,16
"141229",3737,16
"141594",4902,16
"149000",26879,16
"145030",14833,16
"142486",7690,16
"144450",13222,16
"148084",24181,16
"140732",2548,16
"145534",16077,16
"142199",6980,16
"151119",4063,17
"158512",21602,17
"153934",10469,17
"157067",18335,17
"153609",9996,17
"153832",10304,17
"158840",22290,17
"149478",329,17
"152994",8477,17
"159948",24366,17
"161291",27463,17
"152703",7757,17
"152719",7793,17
"156974",18176,17
"151835",5748,17
"164931",11401,18
"168073",20139,18
"167858",19565,18
"163873",8254,18
"161322",449,18
"165569",12717,18
"164812",10851,18
"166226",15538,18
"166012",14853,18
"162205",3595,18
"169839",25860,18
"167588",18660,18
"167834",19530,18
"162811",6004,18
"165077",11692,18
"174420",13343,19
"170896",2680,19
"176792",20910,19
"177159",22263,19
"170737",2508,19
"173787",11914,19
"175362",16011,19
"176514",20368,19
"171608",4394,19
"172430",6349,19
"175842",17551,19
"171330",3382,19
"176141",18742,19
"174319",13176,19
"175857",17566,19
"181493",9816,20
"184891",18975,20
"179323",3902,20
"181953",10754,20
"179854",5089,20
"184644",18365,20
"183339",13356,20
"184730",18549,20
"184044",15931,20
"185234",19853,20
"185158",19490,20
"178982",1976,20
"180245",5987,20
"186423",25403,20
"181718",10302,20
"188819",7860,21
"193194",19721,21
"188488",6783,21
"191199",14865,21
"190584",13343,21
"192317",17053,21
"192804",18991,21
"194940",26012,21
"194565",24629,21
"194754",25393,21
"193724",21874,21
"191750",15712,21
"190950",14084,21
"188334",6368,21
"191829",15915,21
"202725",17609,22
"199875",10430,22
"197465",4931,22
"202355",16677,22
"204688",22556,22
"202708",17570,22
"198114",6618,22
"200435",11994,22
"201975",15646,22
"204076",20993,22
"198705",8010,22
"205335",23821,22
"204329",21795,22
"199794",10292,22
"202157",16143,22
"208892",6746,23
"212559",20976,23
"209676",9307,23
"209405",8058,23
"213149",23924,23
"210363",11567,23
"209891",9821,23
"208932",6870,23
"210641",13200,23
"211246",14751,23
"208811",6510,23
"213722",25821,23
"212523",20937,23
"210392",11609,23
"209862",9731,23
"223320",27456,24
"221196",21822,24
"218221",12998,24
"215516",2974,24
"221211",22328,24
"220833",20820,24
"217208",8103,24
"220963",20956,24
"214351",230,24
"219401",16217,24
"220409",18321,24
"217491",9748,24
"218812",14846,24
"221891",24299,24
"222859",26255,24
"227062",11362,25
"230175",20373,25
"227874",13818,25
"230477",20998,25
"226094",8881,25
"224055",2966,25
"227387",12119,25
"224937",4689,25
"232952",27521,25
"230446",20965,25
"232596",27056,25
"228393",15305,25
"228553",16078,25
"227586",12536,25
"231897",25764,25
"235860",7459,26
"238552",13495,26
"237592",11081,26
"239820",16586,26
"238997",14462,26
"242892",23734,26
"240640",18806,26
"238244",12821,26
"240964",19629,26
"236324",8491,26
"237878",11831,26
"234991",5231,26
"236243",8336,26
"240730",19041,26
"235571",6878,26
"247782",18307,27
"245207",4726,27
"247051",15127,27
"245579",6308,27
"248769",25764,27
"246621",13131,27
"248346",24363,27
"245258",4910,27
"247621",17273,27
"245476",6106,27
"245791",6867,27
"247492",16936,27
"246800",13942,27
"247077",15160,27
"247815",18350,27
"252879",15858,28
"254673",23820,28
"255443",26743,28
"254250",21571,28
"252146",12748,28
"250790",8141,28
"253212",17540,28
"250239",4573,28
"251659",11712,28
"250703",7786,28
"249271",1440,28
"252400",13415,28
"253283",17659,28
"254232",21533,28
"253315",17718,28
"256446",2671,29
"260721",14752,29
"256698",3396,29
"264627",26883,29
"256889",3684,29
"260287",13895,29
"263752",24710,29
"256027",882,29
"260823",15202,29
"258133",7827,29
"261368",16458,29
"262604",20460,29
"259059",10590,29
"262663",20579,29
"264478",26650,29
"267796",11984,30
"271136",23971,30
"271682",25487,30
"265214",1943,30
"267637",10909,30
"265001",1106,30
"270623",21754,30
"271909",26774,30
"270886",23285,30
"270257",20097,30
"270104",19852,30
"268686",15467,30
"267592",10854,30
"270790",22425,30
"271379",24878,30
"278456",15703,31
"282681",25070,31
"278960",16857,31
"282840",25449,31
"280171",19766,31
"277460",13388,31
"278576",15969,31
"272119",348,31
"282611",24882,31
"279943",19184,31
"273468",3406,31
"272713",1676,31
"281225",22201,31
"277876",14341,31
"279358",17883,31
"290270",24033,32
"283844",398,32
"286285",10191,32
"289214",20137,32
"288971",19293,32
"286660",11015,32
"287544",14239,32
"290229",23969,32
"290295",24073,32
"285286",5004,32
"288615",18768,32
"287965",16534,32
"284904",4001,32
"285377",5128,32
"287773",15828,32
"300699",21890,33
"297353",13688,33
"300106",20369,33
"295199",8796,33
"302530",26030,33
"301663",23818,33
"296086",10591,33
"298144",15455,33
"298400",16056,33
"302273",25354,33
"300367",20998,33
"293639",5005,33
"302100",24845,33
"295051",8473,33
"302402",25695,33
"307475",10586,34
"308941",13703,34
"310580",17107,34
"314132",26104,34
"311190",18872,34
"303345",462,34
"308198",12390,34
"312133",21368,34
"305173",5558,34
"308979",13747,34
"312064",20693,34
"308346",12712,34
"311205",18895,34
"304457",3587,34
"303990",2134,34
"315003",255,35
"324716",21422,35
"323475",18692,35
"321446",14059,35
"317732",6483,35
"326684",26582,35
"325419",23770,35
"315295",1242,35
"321392",14003,35
"326083",25411,35
"322174",15471,35
"324316",20552,35
"326641",26532,35
"321637",14427,35
"322833",16890,35
"335604",24429,36
"329208",6560,36
"331575",12225,36
"331896",12868,36
"335529",24215,36
"327375",949,36
"332258",13463,36
"329804",8079,36
"329842",8143,36
"327233",541,36
"328897",6054,36
"334796",21654,36
"329709",7962,36
"333764",17850,36
"335167",22392,36
"339444",10250,37
"339238",9889,37
"344445",26758,37
"340762",14033,37
"338022",6392,37
"344040",25964,37
"343843",25326,37
"342866",21649,37
"339307",10032,37
"337282",4034,37
"339319",10046,37
"337989",6343,37
"342208",18911,37
"341791",16407,37
"340684",13911,37
"348281",11678,38
"348439",11913,38
"347605",10318,38
"345942",5205,38
"346885",7851,38
"347217",9078,38
"353132",27054,38
"345011",1420,38
"349990",15832,38
"348456",11943,38
"346097",5624,38
"347863",11053,38
"352631",26187,38
"353167",27095,38
"352373",25348,38
"361872",24198,39
"361701",23790,39
"356717",10735,39
"362483",26375,39
"357568",12762,39
"354695",4122,39
"357212",12083,39
"360558",20100,39
"360291",19378,39
"356312",9657,39
"359098",16948,39
"355756",7503,39
"353796",1262,39
