"","row","col"
"1169703",5570,135
"3683453",14012,415
"3958157",7797,447
"5247725",22931,588
"5095006",22040,571
"670969",25019,77
"3507032",21290,395
"4459439",14256,501
"3141717",7477,355
"3884886",23387,437
"724317",3288,84
"2460572",7978,280
"2610080",11495,297
"2475177",26401,281
"1976058",6002,225
"4511804",22316,506
"4814578",7767,542
"1280438",10280,148
"3894453",23845,438
"1439405",16172,165
"4369227",10532,492
"4796539",3001,540
"2091205",20469,237
"4908589",7590,552
"2296531",8665,261
"2564225",18414,291
"4197245",14792,472
"2982098",10896,337
"18265",5861,4
"1895798",12876,216
"1469348",26259,168
"4645683",1736,523
"1313614",20480,151
"4558217",14308,512
"1229125",25017,142
"4301645",17209,483
"1500283",11554,172
"5033789",20250,565
"4107682",2639,462
"4140951",15513,465
"3941821",5536,445
"3184967",6935,360
"1432746",24855,164
"2900872",19867,328
"5214729",15441,584
"3653355",17670,412
"2363338",19434,268
"3206745",15537,362
"5188131",20330,581
"3239547",9369,366
"2548491",19080,289
"1667065",18303,190
"2035791",23454,231
"4773268",6295,537
"379552",12452,44
"3394298",23880,383
"1987100",10068,226
"3421060",17425,386
"3134055",19722,353
"110246",14362,13
"5076156",26259,569
"4409570",10126,496
"1218759",13538,141
"604980",5949,70
"588693",8213,68
"2409792",11639,274
"4753313",23732,534
"2530194",11073,287
"3435445",5109,388
"801050",3828,93
"601244",18407,69
"5253538",10914,589
"4624156",20152,520
"2366005",25267,268
"1044564",5583,120
"552775",11634,64
"3707807",3720,418
"1393924",21974,160
"4403679",23453,495
"1058487",682,122
"3158684",4303,357
"354511",5632,42
"2356709",3942,268
"1995671",3835,227
"1875661",8806,214
"792504",17609,91
"4848965",24095,545
"390564",1868,46
"4937450",20697,555
"5181419",1781,581
"5085655",26643,570
"1319149",11030,152
"3054531",9149,345
"4227032",26255,475
"1686880",1906,193
"2647585",12787,301
"3188449",15661,360
"1382024",18377,159
"3021938",20763,341
"2090252",18065,237
"2114897",12435,240
"4856585",22273,546
"165974",23885,19
"2024234",20579,230
"172334",13503,20
"4772513",4642,537
"3854890",6746,434
"3564976",4886,403
"5189355",23886,581
"1103418",13477,126
"2955050",16152,334
"3387899",408,383
"2148929",4339,244
"956655",15738,110
"986243",4394,114
"5221942",11122,585
"2233748",21761,253
"929155",9270,107
"4726509",1272,532
"4724863",23821,531
"4700701",6459,529
"997300",2741,115
"2456148",23084,279
"600744",17362,69
"2564071",17955,291
"4033625",24741,454
"1972616",19877,224
"3231691",16362,365
"493654",16837,57
"350675",20859,41
"2252919",772,256
"4312727",22195,484
"217627",4655,26
"3813242",13438,430
"1068022",26374,122
"2165692",22928,245
"4460358",16455,501
"3309741",10452,374
"3887593",3245,438
"229607",15307,27
"3638073",3008,411
"853050",23045,98
"520875",26736,60
"4752425",21477,534
"3148535",3009,356
"983322",19174,113
"108965",11224,13
"2578003",10447,293
"536169",17755,62
"2704648",3388,308
"1362742",9217,157
"3906751",19763,440
"2028565",5993,231
"475250",26742,55
"4258379",5497,479
"3510946",2719,396
"2448570",26405,278
"3628876",4863,410
"2816570",5201,320
"3991186",18411,450
"576687",25639,66
"4416316",26480,496
"1122853",13610,128
"4545014",18314,510
"245441",19086,29
"2007963",15179,228
"4900194",11277,551
"126086",4429,15
"2142931",15493,243
"2962475",10624,335
"4473031",275,503
"319378",25051,37
"60272",13439,8
"2364238",21445,268
"867353",11836,100
"4805651",27333,540
"2496111",2352,284
"2568734",7855,292
"4524949",1404,508
"1138606",4335,131
"4829275",21456,543
"938834",21506,108
"4370696",13276,492
"2214905",13541,251
"1344364",11211,155
"2627939",14032,299
"1458955",861,168
"3494121",12567,394
"2398361",27082,272
"1020849",23446,117
"2122977",8887,241
"703728",23127,81
"2578576",11759,293
"5138318",11251,576
"2700859",17392,307
"209393",1265,25
"2997694",4416,339
"3110049",10179,351
"1126750",24888,128
"895777",20796,103
"1862238",24551,212
"4907708",5586,552
"1755644",11906,201
"5219524",2800,585
"4682756",9835,527
"570893",8991,66
"1922907",4490,219
"2183772",25288,247
"2724721",3815,310
"852820",22161,98
"1117048",24420,127
"237939",21527,28
"1842553",16623,210
"4980382",27327,559
"237725",19466,28
"1213930",23802,140
"1280840",11204,148
"4332841",1350,487
"2384006",3426,271
