"","org_names","safe_names"
"1","X16C049P026","Organism587"
"2","X16C035P040","Organism586"
"3","X16C086P035","Organism585"
"4","X16C018P037","Organism584"
"5","X16C565P025","Organism583"
"6","X16C085P036","Organism582"
"7","X16C056P023","Organism581"
"8","X16C085P033","Organism580"
"9","X16C062P026","Organism579"
"10","X16C056P035","Organism578"
"11","X16C102P022","Organism577"
"12","X16C101P032","Organism576"
"13","X16C097P028","Organism575"
"14","X16C064P032","Organism574"
"15","X16C565P029","Organism573"
"16","X16C036P017","Organism572"
"17","X16C058P035","Organism571"
"18","X16C001P014","Organism570"
"19","X16C102P040","Organism569"
"20","X16C046P015","Organism568"
"21","X16C048P032","Organism567"
"22","X16C098P016","Organism566"
"23","X16C507P033","Organism565"
"24","X16C046P018","Organism564"
"25","X16C564P016","Organism563"
"26","X16C062P017","Organism562"
"27","X16C058P013","Organism561"
"28","X16C049P015","Organism560"
"29","X16C086P019","Organism559"
"30","X16C017P033","Organism558"
"31","X16C072P015","Organism557"
"32","X16C038P015","Organism556"
"33","X16C100P031","Organism555"
"34","X16C092P026","Organism554"
"35","X16C015P034","Organism553"
"36","X16C047P037","Organism552"
"37","X16C055P036","Organism551"
"38","X16C067P033","Organism550"
"39","X16C564P035","Organism549"
"40","X16C045P033","Organism548"
"41","X16C094P033","Organism547"
"42","X16C067P038","Organism546"
"43","X16C092P033","Organism545"
"44","X16C046P029","Organism544"
"45","X16C037P022","Organism543"
"46","X16C029P010","Organism542"
"47","X16C099P037","Organism541"
"48","X16C036P018","Organism540"
"49","X16C056P031","Organism539"
"50","X16C044P014","Organism538"
"51","X16C039P033","Organism537"
"52","X16C030P013","Organism536"
"53","X16C021P032","Organism535"
"54","X16C015P020","Organism534"
"55","X16C085P034","Organism533"
"56","X16C051P013","Organism532"
"57","X16C040P016","Organism531"
"58","X16C057P017","Organism530"
"59","X16C001P015","Organism529"
"60","X16C566P018","Organism528"
"61","X16C049P019","Organism527"
"62","X16C048P012","Organism526"
"63","X16C085P018","Organism525"
"64","X16C561P023","Organism524"
"65","X16C536P038","Organism523"
"66","X16C094P030","Organism522"
"67","X16C056P040","Organism521"
"68","X16C001P038","Organism520"
"69","X16C015P036","Organism519"
"70","X16C101P022","Organism518"
"71","X16C021P039","Organism517"
"72","X16C051P027","Organism516"
"73","X16C057P040","Organism515"
"74","X16C041P040","Organism514"
"75","X16C037P031","Organism513"
"76","X16C099P039","Organism512"
"77","X16C546P008","Organism511"
"78","X16C566P021","Organism510"
"79","X16C565P019","Organism509"
"80","X16C055P031","Organism508"
"81","X16C067P009","Organism507"
"82","X16C060P037","Organism506"
"83","X16C097P017","Organism505"
"84","X16C015P038","Organism504"
"85","X16C100P020","Organism503"
"86","X16C094P034","Organism502"
"87","X16C042P014","Organism501"
"88","X16C042P016","Organism500"
"89","X16C015P015","Organism499"
"90","X16C017P013","Organism498"
"91","X16C029P018","Organism497"
"92","X16C561P014","Organism496"
"93","X16C098P037","Organism495"
"94","X16C089P031","Organism494"
"95","X16C057P029","Organism493"
"96","X16C556P038","Organism492"
"97","X16C536P039","Organism491"
"98","X16C062P029","Organism490"
"99","X16C102P033","Organism489"
"100","X16C565P028","Organism488"
"101","X16C507P040","Organism487"
"102","X16C046P037","Organism486"
"103","X16C060P036","Organism485"
"104","X16C062P030","Organism484"
"105","X16C072P034","Organism483"
"106","X16C088P039","Organism482"
"107","X16C102P029","Organism481"
"108","X16C054P005","Organism480"
"109","X16C049P033","Organism479"
"110","X16C089P012","Organism478"
"111","X16C035P035","Organism477"
"112","X16C546P005","Organism476"
"113","X16C091P040","Organism475"
"114","X16C048P002","Organism474"
"115","X16C048P031","Organism473"
"116","X16C056P012","Organism472"
"117","X16C064P040","Organism471"
"118","X16C061P020","Organism470"
"119","X16C037P020","Organism469"
"120","X16C069P017","Organism468"
"121","X16C042P009","Organism467"
"122","X16C050P019","Organism466"
"123","X16C062P014","Organism465"
"124","X16C067P036","Organism464"
"125","X16C050P023","Organism463"
"126","X16C104P037","Organism462"
"127","X16C098P036","Organism461"
"128","X16C085P014","Organism460"
"129","X16C088P040","Organism459"
"130","X16C020P034","Organism458"
