"","Accession_ID","Integrated_P1","Integrated_P2"
"1","3.98","NA","NA"
"2","232","NA","NA"
"3","274","NA","NA"
"4","880","NA","NA"
"5","1007","NA","NA"
"6","1207","Onebor","K952001"
"7","1242","NA","NA"
"8","1285","NA","NA"
"9","1501","NA","NA"
"10","1581","NA","NA"
"11","1621","NA","NA"
"12","1706","NA","NA"
"13","1902","NA","NA"
"14","1903","Astra","NA"
"15","1929","NA","NA"
"16","2002","NA","NA"
"17","5001","Selen","Unknown_FA_289"
"18","6042","NA","NA"
"19","9150","NA","NA"
"20","20101","PI616860","Elkat"
"21","52001","940101","PI551579"
"22","52701","Elkat","Rosie_1991"
"23","102213","NA","NA"
"24","102850","NA","NA"
"25","103904","NA","NA"
"26","103926","NA","NA"
"27","106734","NA","NA"
"28","940101","PI616922","PI551407"
"29","1659130","NA","NA"
"30","2004258","NA","NA"
"31","3583239","NA","NA"
"32","000206","PI552257","Polka"
"33","0023001","NA","NA"
"34","0028401","NA","NA"
"35","005042","Selen","952020"
"36","00C003P602","96C207P010","96C042P601"
"37","00C008P603","96C207P010","96C048P613"
"38","00C018P601","97C013P605","96C042P601"
"39","00C027P601","97C012P604","97C013P605"
"40","00C027P603","NA","NA"
"41","00C038P606","96C172P001","96C042P601"
"42","00C046P601","96C172P001","96C043P601"
"43","00C057P613","96C034P602","96C048P613"
"44","00C057P627","96C034P602","96C048P613"
"45","00C058P606","96C048P613","97C012P604"
"46","00C059P606","NA","NA"
"47","00C059P608","96C048P613","97C024P601"
"48","00C071P607","96C189P004","97C013P605"
"49","00C082P003","96C172P001","97C079P014"
"50","00C139P003","97C156P002","97C192P001"
"51","00C157P008","96C172P001","96C207P003"
"52","00C159P001","96C172P001","97C084P001"
"53","00C259P002","94C003P011","96C042P601"
"54","00C279P201","96C207P003","95C077P002"
"55","00C289P201","96C135P001","95C096P001"
"56","00C290P201","96C125P001","96C189P004"
"57","00C292P201","96C042P601","95C096P001"
"58","00C294P001","97C162P003","96C189P004"
"59","00C294P002","88C012P002","95C077P002"
"60","00C294P003","88C012P002","95C077P002"
"61","00C295P001","88C035P601","95C096P001"
"62","00C295P002","88C035P601","95C096P001"
"63","00C295P003","88C035P601","95C096P001"
"64","00C295P004","88C035P601","95C096P001"
"65","00C296P005","88C217P004","96C125P001"
"66","01.12.52","NA","NA"
"67","01-12-15","NA","NA"
"68","01BB64","NA","NA"
"69","01C006P602","98C032P605","98C039P802"
"70","01C014P603","98C039P802","98C073P602"
"71","01C024P602","97C048P602","97C096P008"
"72","01C030P603","97C096P008","98C049P601"
