row,col
190,1
499,1
511,1
571,1
727,1
750,1
856,1
880,1
882,1
890,1
896,1
907,1
932,1
1023,1
1044,1
1075,1
1090,1
1136,1
1179,1
1280,1
1297,1
1318,1
1335,1
1383,1
1400,1
1404,1
1429,1
1451,1
1720,1
1733,1
1839,1
2104,1
2288,1
2308,1
2365,1
2608,1
2711,1
2857,1
2986,1
3118,1
3308,1
3314,1
3643,1
3675,1
3718,1
3773,1
4029,1
4081,1
4107,1
4125,1
4142,1
4152,1
4179,1
4209,1
4219,1
4293,1
4395,1
4400,1
4479,1
4486,1
4736,1
4772,1
4798,1
4902,1
4906,1
5030,1
5242,1
5279,1
5422,1
5617,1
5681,1
5721,1
5724,1
5794,1
5866,1
6048,1
6093,1
6113,1
6184,1
6209,1
6331,1
6357,1
6393,1
6497,1
6577,1
6718,1
6724,1
6810,1
6901,1
7033,1
7245,1
7292,1
7298,1
7431,1
7455,1
7530,1
7624,1
7715,1
7857,1
8091,1
8110,1
8185,1
8247,1
8503,1
8588,1
8600,1
8792,1
8815,1
8981,1
9003,1
9048,1
9099,1
9179,1
9280,1
9348,1
9566,1
9608,1
9620,1
9657,1
9804,1
9828,1
9920,1
9928,1
9929,1
9950,1
10197,1
10369,1
10601,1
10714,1
10727,1
10806,1
10850,1
11023,1
11090,1
11140,1
11208,1
11558,1
11716,1
12146,1
12228,1
12253,1
12519,1
12584,1
12601,1
12737,1
12903,1
12908,1
13049,1
13096,1
13270,1
13300,1
13375,1
13424,1
13462,1
13493,1
13517,1
13574,1
13637,1
13675,1
13740,1
13798,1
13850,1
13884,1
13920,1
14227,1
14238,1
14261,1
14306,1
14449,1
14616,1
14680,1
14863,1
15032,1
15065,1
15085,1
15095,1
15186,1
15256,1
15307,1
15331,1
15574,1
15611,1
15632,1
15687,1
15855,1
15893,1
16179,1
16180,1
16316,1
16339,1
16363,1
16470,1
16602,1
16676,1
16693,1
16751,1
16773,1
16790,1
16791,1
16938,1
17002,1
17098,1
17182,1
17324,1
17390,1
17634,1
17637,1
17640,1
17929,1
17940,1
18007,1
18091,1
18096,1
18159,1
18260,1
18374,1
18496,1
18527,1
18563,1
18582,1
18606,1
18703,1
18741,1
19010,1
19186,1
19255,1
19296,1
19451,1
19457,1
19460,1
19583,1
19855,1
19983,1
20227,1
20338,1
20343,1
20394,1
20400,1
20445,1
20600,1
20637,1
20655,1
20746,1
20768,1
20771,1
21526,1
21593,1
21600,1
21772,1
21786,1
21809,1
21817,1
21846,1
22189,1
22329,1
22381,1
22392,1
22585,1
22829,1
23036,1
23108,1
23278,1
23307,1
23735,1
23742,1
23877,1
23954,1
23968,1
24164,1
24307,1
24348,1
24373,1
24407,1
24427,1
24540,1
24683,1
24694,1
24700,1
24705,1
24712,1
24733,1
24811,1
24819,1
24822,1
24831,1
24842,1
24860,1
25019,1
25248,1
25258,1
25327,1
25467,1
25475,1
25476,1
25502,1
25569,1
25576,1
25578,1
25643,1
25677,1
25745,1
25912,1
26075,1
26214,1
26268,1
26326,1
26520,1
26621,1
26887,1
27127,1
27179,1
27184,1
27297,1
27298,1
27305,1
27340,1
27353,1
27354,1
27486,1
51,2
56,2
133,2
268,2
306,2
335,2
578,2
589,2
620,2
656,2
662,2
667,2
847,2
856,2
943,2
973,2
1128,2
1210,2
1279,2
1294,2
1332,2
1396,2
1484,2
1509,2
1532,2
1538,2
1938,2
1954,2
1973,2
2051,2
2401,2
2447,2
2494,2
2531,2
2538,2
2623,2
2735,2
2743,2
2778,2
2853,2
2890,2
3074,2
3207,2
3222,2
3319,2
3353,2
3782,2
3987,2
4009,2
4018,2
4080,2
4179,2
4412,2
4525,2
4683,2
4690,2
4725,2
4772,2
4878,2
5032,2
5048,2
5173,2
