"","row","col"
"3487149",2307,307
"3514407",20332,309
"1291449",18647,112
"103542",14207,8
"284869",20378,22
"4042930",16048,354
"2596290",2049,230
"316883",1784,25
"2774156",20541,244
"554412",13866,45
"4465256",12046,388
"12900",25683,1
"3785165",11847,333
"844478",8488,73
"3793628",6742,334
"4005961",24096,351
"801183",12067,69
"2058594",5000,183
"3750825",6210,330
"3040359",14575,266
"2685728",2018,237
"4417216",10121,384
"1317484",14271,115
"2420660",17675,216
"2696228",23087,237
"1663974",7024,146
"1245109",14018,108
"241668",16850,19
"3320531",4362,293
"1109953",24483,97
"4482947",1907,390
"4049183",1062,355
"4498603",16031,391
"186131",8686,15
"1521792",1714,134
"4495680",8106,391
"3517631",1352,310
"1554253",4726,137
"660123",8664,53
"2497477",16037,222
"1527370",16566,134
"1115481",8162,98
"4178160",312,366
"3087119",25260,270
"965622",23216,85
"1796207",17189,158
"5013132",11509,434
"4530487",16093,394
"3552012",6435,313
"359959",13135,28
"985134",8259,87
"4596991",2795,400
"1910052",13105,168
"2959060",10445,258
"888162",6460,78
"637809",18894,51
"2983582",27491,260
"2604691",18727,230
"3443669",20791,303
"3494167",21082,307
"4843136",24504,420
"1923908",13237,169
"3448090",3403,304
"1442919",1733,126
"1867020",9363,165
"1199885",21857,104
"1431085",5739,125
"4805554",3143,418
"1785356",19801,157
"3645762",24391,320
"5197777",19432,450
"959107",5782,85
"269829",17897,21
"4621217",23589,401
"1002641",18264,88
"275981",2699,22
"1912861",18677,168
"736703",20954,61
"1170484",16408,102
"2487125",19930,221
"3777637",19392,332
"723818",27293,59
"391604",7465,31
"3430439",16429,302
"1304800",10473,114
"583582",16861,47
"4754834",2197,414
"320389",8797,25
"4905106",8354,426
"3489068",7607,307
"3152738",19950,275
"3208769",10417,281
"3109687",15587,272
"4360976",15976,379
"1165260",5931,102
"2371010",24634,211
"2735104",18714,241
"1424294",17844,124
"4646210",24611,403
"1731148",5017,152
"4360670",15226,379
"106697",20585,8
"567096",11679,46
"835573",14515,72
"5135064",19443,445
"2527289",21490,224
"4521419",22067,393
"4852074",17347,421
"3796931",15659,334
"4280241",15791,373
"2260768",17782,202
"3908827",16171,344
"1394860",10504,122
"5052295",17613,437
"421743",812,34
"1348496",3849,118
"5254837",3218,455
"2304561",849,206
"4906032",10288,426
"3203415",16504,280
"3309677",15999,291
"4888275",21191,424
"2247565",18817,201
"1144720",16654,100
"4022273",1998,353
"2947138",12472,257
"3794557",9210,334
"232320",25835,18
"2663785",11014,235
"958048",2907,85
"4133320",4359,362
"4241608",19744,370
"590091",2743,48
"4483662",3666,390
"736307",19892,61
"2800373",19854,246
"1402066",24909,122
"2814877",21474,247
"1562624",21337,137
"4229251",19599,369
"3241909",2678,285
"3726563",24721,327
"4964523",23108,430
"717147",18270,58
"3435233",1552,303
"129266",10714,10
"2838296",13404,249
"1040319",19350,91
"4399220",1190,383
"2570395",5382,228
"1450440",16751,126
"4401944",6899,383
"1627361",19144,142
"435930",1432,35
"3926560",678,346
"2336776",1578,209
"2315896",1169,207
"3182931",6127,278
"100339",7727,8
"4834535",7053,420
"3447064",1075,304
"2404559",20710,214
"4549536",5557,396
"610905",20043,49
"5066579",22649,438
"3340857",4890,295
"4323563",20023,376
"2089372",23817,185
"3310031",17290,291
"3882896",5680,342
"2490222",26861,221
"3886751",15920,342
"3038788",11451,266
"3113820",23894,272
"699868",17266,56
"161821",10323,13
"3596794",26453,316
"3030847",21501,265
"2315600",439,207
"569160",15824,46
"2681288",20604,236
"878078",6863,76
"5168124",14955,448
"4408241",19424,383
"39746",24175,3
"380069",7447,30
"59642",8853,5
"4700731",14102,408
"1389581",27337,121
"3189532",20973,278
"4478571",17709,389
"4903979",5909,426
"3230467",562,284
"4589422",15268,399
"1769240",25075,155
"2624528",4025,232
"1590172",21430,139
"3280646",5935,288
"2191025",3750,195
"4723053",3619,411
"4557540",27087,396
"1991250",12406,176
"3007014",12404,263
"5126446",25048,444
"1141478",7781,100
"1516322",798,133
"3247269",13372,285
"1685580",21853,148
"622412",15685,50
"252521",11047,20
"4487087",12770,390
"1484759",6806,129
"712741",24604,57
"704335",1980,57
"4802655",24709,417
"4778776",1159,416
"5110259",570,443
"3927583",2709,346
"2232087",8061,200
"2471619",13741,220
"1111369",27430,97
"4419863",15485,384
"3673653",25848,322
"2466471",3409,220
"2075066",18461,184
"2854113",17542,250
"4226653",14554,369
"3656213",18175,321
"4382150",13812,381
"156912",24555,12
"2221462",1454,199
"3013903",3313,264
"15366",3099,2
"873189",19302,75
"3601394",9384,317
"3588139",6681,316
"5062562",13527,438
"1548126",17347,136
"5087083",14260,440
"4688926",10621,407
"3233747",9383,284
"1200940",24109,104
"1485757",9041,129
"134960",22052,10
"3681794",14778,323
"1595316",4368,140
"523507",22512,42
"3681284",13703,323
"815264",19470,70
"4345781",9831,378
"3659719",25216,321
"2352099",11257,210
"4693523",20955,407
"190350",17134,15
"2493731",7370,222
"3534911",18719,311
"4277293",9919,373
"3036130",6081,266
"4630115",15724,402
"2771998",16002,244
"4030017",17564,353
"4686469",4892,407
"3459125",875,305
"3716884",21214,326
"3267613",26315,286
"3282477",10942,288
"2833574",3903,249
"426967",11194,34
"75741",13553,6
"2639170",9842,233
"4843422",25095,420
"669158",26785,53
"1461958",12333,127
"2042543",17893,181
"3122470",13777,273
"4832898",3731,420
"879176",13033,76
"1595033",3787,140
"768222",19724,65
"3685158",21469,323
"3732184",15340,328
"4124773",10663,361
"4050636",3958,355
"4167820",4275,365
"3678762",8583,323
"3520220",8417,310
"2481517",6930,221
"2551002",16489,226
"3097872",19289,271
"3435834",2959,303
"3521825",12752,310
"1569646",8026,138
"4884033",11790,424
"1863609",2389,165
"1564927",25957,137
"4949713",20797,429
"1907776",8514,168
"5038906",14760,436
"5007633",26733,433
"5153065",8674,447
"1132039",14104,99
"3494746",22695,307
"3572412",1860,315
"1271678",24745,110
"159268",3328,13
"2311189",17041,206
"1890689",1763,167
"4339413",24518,377
"1990108",7926,176
"208054",25342,16
"296923",16963,23
"1779944",7308,157
"1816818",4822,160
"1136455",23107,99
"250304",6541,20
"2974999",27454,259
"181809",27424,14
"4608951",26652,400
"890488",19296,78
"1306205",13944,114
"3131534",4493,274
"92887",20439,7
"1643659",3901,144
"5115618",17900,443
"5019904",26943,434
"3318487",23689,292
"1497946",9111,130
"987659",13323,87
"3715616",17131,326
"2776591",25645,244
"2982057",22568,260
"3050119",6542,267
"3844438",17059,338
"3553422",9907,313
"1167136",9757,102
"4038911",7871,354
"1899052",18613,167
"2779766",4993,245
"2060245",9616,183
"4440340",8323,386
"1461085",10573,127
"2423556",26946,216
"4512160",24751,392
"3967253",27038,348
"730938",5604,61
"4212627",14065,368
"3917743",9194,345
"5228077",24849,452
"1482472",1631,129
"3654267",14239,321
"1464687",17664,127
"2135612",9313,190
"4390922",8178,382
"5013634",12621,434
"2482830",9938,221
"187743",11983,15
"409333",23425,32
"5207804",11926,451
"667637",23741,53
"5129529",5739,445
"3761674",4255,331
"238786",11240,19
"4173256",16691,365
"4387964",903,382
"3273341",13800,287
"2590555",18071,229
"774056",12586,66
"493193",19217,39
"469388",15778,37
"3508053",3241,309
"4571608",7261,398
"3491860",14983,307
"1946784",5943,171
"4585419",7280,399
"2096227",13977,186
"281247",13230,22
"3559307",24695,313
"5195270",14457,450
"3803247",4622,335
"236993",7542,19
"666449",21337,53
"4258489",27173,371
"4382552",14854,381
"1298084",17307,113
"2893836",14870,253
"461767",25210,36
"4759251",12133,414
"2769140",9863,244
"3178260",22191,277
"3231996",4634,284
"2884050",22675,252
"103229",13583,8
"2718282",19815,239
"4681899",21855,406
"3973783",13509,349
"461504",24692,36
"3670547",19540,322
"114051",7638,9
"428851",14846,34
"3967482",27479,348
"4407496",17994,383
"4595598",48,400
"4109433",204,360
"823982",13405,71
"2688944",8537,237
"1789137",1072,158
"4815805",23920,418
"2976042",3263,260
"4257754",25692,371
"3650078",5692,321
"1190764",2346,104
"4151652",22344,363
"5189622",2975,450
"519861",11025,42
"2946639",11453,257
"3136111",13763,274
"420183",24460,33
"1947537",8239,171
"2424486",1513,217
"2623698",2086,232
"5198990",21855,450
"2159006",17451,192
"1141520",7897,100
"2470130",10831,220
"271586",21524,21
"2275732",20267,203
"4505095",5889,392
"1733547",9781,152
"4034255",26094,353
"2117548",15835,188
"4215402",19480,368
"2793367",5901,246
"3464123",10844,305
"5118185",25993,443
"56850",3185,5
"5226915",22555,452
"3582831",22804,315
"2043805",20944,181
"4446913",24777,386
"698647",13957,56
"2298159",12564,205
"2792399",3981,246
"2593787",24522,229
"3925003",24891,345
"306510",8712,24
"4649063",3384,404
"130262",12609,10
"2667248",18913,235
"3076623",4273,270
"3788303",20296,333
"1275618",5554,111
"119216",17912,9
"1747410",10047,153
"342819",26107,26
"2674354",6763,236
"1422796",14091,124
"174262",12361,14
"4498859",16719,391
"1515887",25982,132
"1093712",16474,96
"4536884",3233,395
"4082610",16307,357
"3476114",7268,306
"2027796",8872,180
"1221425",12673,106
"1847602",23000,163
"4637797",5581,403
"2495189",10744,222
"2296297",8046,205
"972867",11184,86
"3333491",16158,294
"3466340",15260,305
"3030854",21523,265
"2570924",6374,228
"5081025",416,440
"4416266",8239,384
"1422248",12810,124
"357352",6648,28
"2300593",18568,205
"2954454",27389,257
"2407688",3145,215
"2685561",1688,237
"3991536",22551,350
"4762564",19678,414
"1873076",21391,165
"5180728",12788,449
"781731",9183,67
"1531066",26450,134
"3977286",21172,349
"4529188",13116,394
"763811",2415,65
"4985106",9260,432
"1639369",20873,143
"10551",21157,1
"490127",11660,39
"2910610",21104,254
"2734051",15305,241
"615020",802,50
"3596476",25731,316
"1007113",898,89
"3919122",12171,345
"2976796",5649,260
"2385554",2168,213
"3058261",22739,267
"3069177",6594,269
"1747767",10742,153
"877607",4277,76
"2357983",22984,210
"1682638",12211,148
"3318064",21977,292
"3858104",22457,339
"5091897",25178,440
"1512243",5955,132
"3503163",17642,308
"3815151",8708,336
"613275",24871,49
"3576808",10832,315
"4578123",20186,398
"2893051",13310,253
"4017378",19607,352
"3329077",6097,294
"3420277",16786,301
"3317568",20003,292
"5216964",2564,452
"1752454",20133,153
"4236915",8881,370
"3896647",13597,343
"4301791",3957,375
"4665661",12266,405
"1481560",27100,128
"3399882",17303,299
"889156",12070,78
"3850227",1510,339
"1364721",18861,119
"2113977",6260,188
"3115248",26847,272
"894695",14682,79
"4379029",6057,381
"3221309",3568,283
"62119",13859,5
"1382119",12416,121
"729465",1610,61
"4593459",23286,399
"2973579",22874,259
"4066134",7562,356
"981813",1598,87
"423525",4390,34
"2607246",23835,230
"540684",13931,44
"4926051",25300,427
"828151",23816,71
"2928154",1707,256
"4573543",11223,398
"4831977",1922,420
"4208245",5319,368
"4228688",18474,369
"3345540",14344,295
"1701657",1044,150
"2278506",25958,203
"2127258",14356,189
"4665",9392,1
"2903281",6352,254
"650873",17564,52
"3657056",19830,321
"4155902",4696,364
"3416366",6357,301
"3846117",20377,338
"378800",4177,30
"3448077",3372,304
"408703",21785,32
"2282333",6072,204
"140958",8920,11
"1734506",11766,152
"2671983",1946,236
"1541299",26436,135
"2901090",1992,254
"4333822",13246,377
"3161876",10974,276
"3782136",3633,333
"2078157",25582,184
"3238187",21229,284
"3424702",1148,302
"860256",17075,74
"3680152",11345,323
"2369744",21776,211
"747772",22974,62
"33249",11215,3
"4176246",23501,365
"2447951",21173,218
"4993685",26349,432
"5060721",9388,438
"4480398",22717,389
"4785127",15456,416
"784449",17845,67
"1053435",24080,92
"2922400",17481,255
"3449545",6754,304
"1596106",5908,140
"1487796",13823,129
"1302170",3867,114
"4881696",6415,424
"3844863",17885,338
"1349972",7215,118
"4172762",15589,365
"1999480",17517,177
"734344",14608,61
"2036509",2880,181
"4360896",15780,379
"1812171",23098,159
"1801696",2239,159
"4030728",18955,353
"2646192",25948,233
"3008224",15646,263
"1927651",20659,169
"540267",13108,44
"3182116",4234,278
"301683",26509,23
"3974703",15504,349
"1884718",17313,166
"3844005",16227,338
"3751824",8488,330
"4242750",22445,370
"1896553",13707,167
"2666866",18029,235
"2922984",18637,255
"4984098",7290,432
"2881442",17423,252
"2141711",25850,190
"2961397",16023,258
"4413862",3262,384
"3090447",4504,271
"2788390",23205,245
"1773255",13573,156
"5257354",8919,455
"809054",3956,70
"4268624",19989,372
"180864",25604,14
"152701",13161,12
"2006226",10604,178
"4121918",3633,361
"1122341",22020,98
"2181913",11072,194
"1931725",1248,170
"4560619",7736,397
"2655204",18919,234
"3571480",45,315
"2263339",23015,202
"1450036",15941,126
"1847169",21373,163
"1817849",6895,160
"465969",7299,37
"1415413",24190,123
"818979",960,71
"1305975",13411,114
"3294525",15809,289
"5205045",6322,451
"2120953",24969,188
"3376269",20761,297
"4496769",11101,391
"1084473",19365,95
"230267",21836,18
"970188",5795,86
"1590236",21564,139
"5086281",12449,440
"599318",23998,48
"914563",9933,81
"2058031",3551,183
"2528817",24482,224
"4357883",8157,379
"2242259",8233,201
"4561877",11184,397
"3442861",18939,303
"3694029",11853,324
"2453473",4772,219
"3164644",16651,276
"2007212",12986,178
"1010088",7761,89
"4782726",10105,416
"2099870",23747,186
"2882342",19259,252
"3778799",22436,332
"2331598",15476,208
"1758822",10773,154
"1097044",25422,96
"3067699",834,269
"1490381",19704,129
"2722265",5049,240
"692290",24518,55
"862918",23319,74
"275815",2360,22
"3420757",18133,301
"3001508",25176,262
"4153856",119,364
"4000043",12164,351
"28433",1669,3
"4617882",16987,401
"3995829",3608,351
"4844928",869,421
"2229438",27009,199
"2766252",3742,244
"3725443",21224,327
"3299829",3957,290
"725078",6627,60
"119454",18405,9
"1809467",17728,159
"4463878",8916,388
"3894027",7145,343
"3303772",19709,290
"193726",24001,15
"3397730",11546,299
"614467",27245,49
"2185372",17934,194
"4814433",21075,418
"3743947",17959,329
"1120840",19011,98
"3466723",16074,305
"3161612",10449,276
"3440878",14297,303
"717380",19491,58
"3535454",20142,311
"2290299",22010,204
"1574500",17655,138
"2380899",19562,212
"3120715",10333,273
"114667",8928,9
"733686",12875,61
"106113",19406,8
"1325395",5826,116
"1112389",1927,98
"2637280",5593,233
"4761123",16389,414
"1595566",4830,140
"4685919",3625,407
"3280175",4633,288
"4762898",20393,414
"4062786",895,356
"1880081",8066,166
"3178079",21721,277
"1510325",23335,131
"5172606",23933,448
"1150738",4091,101
"2852045",13469,250
"3607297",22845,317
"4782703",10056,416
"2001956",27444,177
"4577585",19150,398
"5142927",11373,446
"2219538",22801,198
"490257",11970,39
"3952474",25010,347
